GeneID	controlF_rep2	PE60F_rep2	PE60F_rep1	PE200F_rep2	PE600F_rep2	PE600F_rep3	PE60F_rep3	PE200F_rep3	controlF_rep3	PE200F_rep1	PE600F_rep1	controlF_rep1
CQUJHB011179	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB002159	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB016533	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB017770	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB012895	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB017220	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB014466	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB008459	0	0	0	0	0	0	0	0	1	0	0	4
CQUJHB002429	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB005950	573	950	303	750	840	366	732	349	359	699	546	546
CQUJHB000717	14	19	6	16	6	0	18	0	1	20	13	23
CQUJHB020250	0	0	0	0	0	0	0	0	2	0	0	0
CQUJHB011298	27	23	0	17	26	6	18	0	0	10	48	20
CQUJHB012240	27	40	11	17	9	19	10	2	8	19	32	34
CQUJHB006437	39	53	14	37	26	29	34	14	3	12	52	32
CQUJHB015741	0	0	1	0	0	5	0	0	5	0	2	0
CQUJHB017278	432	430	135	286	293	230	382	102	82	238	403	311
CQUJHB012711	180	248	130	162	74	133	175	47	75	133	143	134
CQUJHB012000	7	16	7	0	24	4	9	15	9	5	22	6
CQUJHB013566	14794	9320	6945	12678	10516	10046	14677	5869	4394	7558	6515	9595
CQUJHB006352	207	57	61	110	63	78	74	42	31	110	136	106
CQUJHB005454	33	24	5	3	4	3	25	0	7	10	7	19
CQUJHB000206	8	2	8	2	10	0	7	0	0	0	0	6
CQUJHB017186	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB003691	9	7	2	9	0	7	0	0	3	6	0	8
CQUJHB016826	41	150	0	25	15	42	26	0	5	3	5	2
CQUJHB010104	6	5	2	17	10	4	0	3	1	1	16	10
CQUJHB000885	6	0	0	5	0	0	3	0	0	0	1	0
CQUJHB008515	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB003010	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB003844	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB002644	0	0	2	1	4	1	0	0	0	0	0	0
CQUJHB016991	12	6	0	0	0	0	0	0	3	3	0	0
CQUJHB015314	23	0	3	0	8	13	3	0	6	1	67	5
CQUJHB007797	229	32	21	61	50	50	65	6	20	29	24	44
CQUJHB005558	129	92	8	83	58	154	64	32	35	35	106	57
CQUJHB002255	1710	2130	575	1553	1423	980	1299	660	605	1627	1345	911
CQUJHB018454	414	335	87	379	277	412	342	79	48	240	391	315
CQUJHB003592	89	47	6	28	14	30	40	6	10	27	122	45
CQUJHB004145	7	12	1	12	6	0	7	0	0	0	3	3
CQUJHB014004	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB001860	107	196	41	132	55	29	143	27	47	119	118	103
CQUJHB013103	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB000043	14	46	7	8	22	8	17	1	8	3	15	5
CQUJHB009026	259	292	36	126	63	71	70	29	26	58	269	161
