"";"stage";"sample_type";"treatment";"exposition";"run";"stage_exp";"se.chao1";"SR";"SampleID";"alpha_type";"alpha_diversity"
"172";"larvae";"larvae_whole";"200";"exposed";"run1";"EXP_larvae";23,0068655623492;402;"PE200L_rep1";"alpha_shannon";2,37778339164849
"173";"larvae";"larvae_whole";"200";"exposed";"run1";"EXP_larvae";23,0068655623492;402;"PE200L_rep1";"alpha_simpson";0,790922400535133
"174";"larvae";"larvae_whole";"200";"exposed";"run1";"EXP_larvae";23,0068655623492;402;"PE200L_rep1";"PD";7,2650948995
"175";"larvae";"larvae_whole";"200";"exposed";"run1";"EXP_larvae";23,0068655623492;402;"PE200L_rep1";"core_abundance";0,00364397301295234
"176";"larvae";"larvae_whole";"200";"exposed";"run1";"EXP_larvae";21,8770280501281;401;"PE200L_rep2";"Chao1";486,015873015873
"177";"larvae";"larvae_whole";"200";"exposed";"run1";"EXP_larvae";21,8770280501281;401;"PE200L_rep2";"alpha_shannon";2,0339881858772
"178";"larvae";"larvae_whole";"200";"exposed";"run1";"EXP_larvae";21,8770280501281;401;"PE200L_rep2";"alpha_simpson";0,656365020056727
"179";"larvae";"larvae_whole";"200";"exposed";"run1";"EXP_larvae";21,8770280501281;401;"PE200L_rep2";"PD";7,5037263515
"180";"larvae";"larvae_whole";"200";"exposed";"run1";"EXP_larvae";21,8770280501281;401;"PE200L_rep2";"core_abundance";0,000436585898275486
"181";"larvae";"larvae_whole";"200";"exposed";"run1";"EXP_larvae";18,1361813339387;333;"PE200L_rep3";"Chao1";396,018518518519
"182";"larvae";"larvae_whole";"200";"exposed";"run1";"EXP_larvae";18,1361813339387;333;"PE200L_rep3";"alpha_shannon";2,56620383664638
"183";"larvae";"larvae_whole";"200";"exposed";"run1";"EXP_larvae";18,1361813339387;333;"PE200L_rep3";"alpha_simpson";0,801275214478943
"184";"larvae";"larvae_whole";"200";"exposed";"run1";"EXP_larvae";18,1361813339387;333;"PE200L_rep3";"PD";6,8195238125
"185";"larvae";"larvae_whole";"200";"exposed";"run1";"EXP_larvae";18,1361813339387;333;"PE200L_rep3";"core_abundance";0,000868097419821558
"186";"female";"female_midgut";"60";"exposed";"run2";"EXP_femaleMID";10,0160695364919;99;"PE60_rep1";"Chao1";116,769230769231
"187";"female";"female_midgut";"60";"exposed";"run2";"EXP_femaleMID";10,0160695364919;99;"PE60_rep1";"alpha_shannon";0,424097935908664
"188";"female";"female_midgut";"60";"exposed";"run2";"EXP_femaleMID";10,0160695364919;99;"PE60_rep1";"alpha_simpson";0,108650353935674
"189";"female";"female_midgut";"60";"exposed";"run2";"EXP_femaleMID";10,0160695364919;99;"PE60_rep1";"PD";27,589346579
"190";"female";"female_midgut";"60";"exposed";"run2";"EXP_femaleMID";10,0160695364919;99;"PE60_rep1";"core_abundance";0,944045576804964
"191";"female";"female_midgut";"60";"exposed";"run2";"EXP_femaleMID";15,106889522891;91;"PE60_rep2";"Chao1";122,071428571429
"192";"female";"female_midgut";"60";"exposed";"run2";"EXP_femaleMID";15,106889522891;91;"PE60_rep2";"alpha_shannon";0,0893872044768848
"193";"female";"female_midgut";"60";"exposed";"run2";"EXP_femaleMID";15,106889522891;91;"PE60_rep2";"alpha_simpson";0,0186093882910724
"194";"female";"female_midgut";"60";"exposed";"run2";"EXP_femaleMID";15,106889522891;91;"PE60_rep2";"PD";17,546500561
